barcode,sample_type,cancer_status
GTEX-111VG-2426-SM-5GZXD,Normal,Normal
GTEX-1122O-2126-SM-5EGIR,Normal,Normal
GTEX-1128S-2326-SM-5GZZY,Normal,Normal
GTEX-113IC-0126-SM-5HL6T,Normal,Normal
GTEX-113JC-2326-SM-5EQ4E,Normal,Normal
GTEX-117XS-2726-SM-5N9BL,Normal,Normal
GTEX-117YW-2626-SM-5GZZH,Normal,Normal
GTEX-117YX-2326-SM-5H12W,Normal,Normal
GTEX-1192W-2626-SM-5Q5AF,Normal,Normal
GTEX-1192X-0226-SM-5H12D,Normal,Normal
GTEX-11DXW-0226-SM-5H122,Normal,Normal
GTEX-11DXX-2426-SM-5GZZW,Normal,Normal
GTEX-11DXY-2626-SM-5GIE7,Normal,Normal
GTEX-11DXZ-2326-SM-5EGGV,Normal,Normal
GTEX-11DYG-0126-SM-59883,Normal,Normal
GTEX-11DZ1-0126-SM-5985Q,Normal,Normal
GTEX-11EI6-0126-SM-5985R,Normal,Normal
GTEX-11EM3-2426-SM-59861,Normal,Normal
GTEX-11EMC-2926-SM-5EQ4F,Normal,Normal
GTEX-11EQ9-2426-SM-5HL5T,Normal,Normal
GTEX-11GS4-2726-SM-5A5LE,Normal,Normal
GTEX-11GSO-2426-SM-5A5LY,Normal,Normal
GTEX-11GSP-2526-SM-5N9BP,Normal,Normal
GTEX-11H98-0126-SM-5EGHG,Normal,Normal
GTEX-11LCK-1026-SM-5A5KB,Normal,Normal
GTEX-11NSD-2226-SM-5986V,Normal,Normal
GTEX-11NUK-0126-SM-5A5L3,Normal,Normal
GTEX-11O72-0126-SM-59887,Normal,Normal
